1;FR0010821470;AFER DIVERSIFIÉ DURABLE.
2;FR0007071006;ALM CRÉDIT EURO ISR.
3;FR0000991432;AMUNDI ACTIONS EUROPE ISR.
4;FR0000447823;AXA TRÉSOR COURT TERME.
5;FR0010302398;BNP PARIBAS ACTIONS EUROPE RESPONSABLE.
6;FR0010137166;BNP PARIBAS EURO VALEURS DURABLES.
7;FR0010291567;CM-CIC MONÉ ISR.
8;FR0000444366;CM-CIC OBJECTIF ENVIRONNEMENT.
9;FR0010321828;ECHIQUIER MAJOR.
10;FR0010612879;ECUREUIL BÉNÉFICES ENVIRONNEMENT.
11;FR0010091116;ECUREUIL BÉNÉFICES RESPONSABLE.
12;FR0010521575;FRUCTI ACTIONS ENVIRONNEMENT.
13;FR0000976292;FRUCTI ACTIONS EUROPÉENNES.
14;FR0010032169;FRUCTI EURO ISR.
15;FR0010091173;HORIZON ACTIONS MONDE.
16;FR0010702084;INSERTION EMPLOIS DYNAMIQUE.
17;FR0010750901;LBPAM RESPONSABLE ACTIONS ENVIRONNEMENT.
18;FR0010497099;LBPAM RESPONSABLE ACTIONS EURO.
19;FR0010940882;LBPAM RESPONSABLE ACTIONS EUROPE.
20;FR0010957860;LBPAM RESPONSABLE OBLI CRÉDIT.
21;FR0011221886;LBPAM RESPONSABLE TRÉSO.
22;FR0007014212;LBPAM VOIE LACTÉE.
23;FR0000004962;LIBERTÉS & SOLIDARITÉ.
24;FR0010091660;MAIF RETRAITE CROISSANCE DURABLE.
25;FR0007056098;MONCEAU ETHIQUE.
26;FR0000970972;NOUVELLE STRATÉGIE 50.
27;FR0010458281;PALATINE ACTIONS DÉFENSIVES EURO.
28;FR0010237503;ROCHE BRUNE EUROPE ACTIONS.
29;LU1183791794;SYCOMORE ECO SOLUTIONS.